From,FromStations,To,ToStations,Weekday
500,Acton Town                    ,505,Alperton                      ,325
500,Acton Town                    ,507,Angel                         ,11
500,Acton Town                    ,510,Arsenal                       ,19
500,Acton Town                    ,511,Baker Street                  ,12
500,Acton Town                    ,513,Bank / Monument               ,244
500,Acton Town                    ,501,Barbican                      ,1
500,Acton Town                    ,516,Barons Court                  ,264
500,Acton Town                    ,517,Bayswater                     ,19
500,Acton Town                    ,519,Belsize Park                  ,6
500,Acton Town                    ,521,Blackfriars                   ,8
500,Acton Town                    ,522,Blackhorse Road               ,29
500,Acton Town                    ,524,Bond Street                   ,69
500,Acton Town                    ,525,Borough                       ,2
500,Acton Town                    ,526,Boston Manor                  ,17
500,Acton Town                    ,527,Bounds Green                  ,11
500,Acton Town                    ,778,Brixton                       ,35
500,Acton Town                    ,535,Camden Town                   ,6
500,Acton Town                    ,788,Canada Water                  ,6
500,Acton Town                    ,852,Canary Wharf                  ,66
500,Acton Town                    ,884,Canning Town                  ,44
500,Acton Town                    ,541,Chancery Lane                 ,46
500,Acton Town                    ,718,Charing Cross                 ,27
500,Acton Town                    ,545,Chiswick Park                 ,24
500,Acton Town                    ,547,Clapham Common                ,11
500,Acton Town                    ,553,Covent Garden                 ,120
500,Acton Town                    ,560,Ealing Broadway               ,503
500,Acton Town                    ,561,Ealing Common                 ,19
500,Acton Town                    ,562,Earl's Court                  ,273
500,Acton Town                    ,566,East Ham                      ,23
500,Acton Town                    ,564,Eastcote                      ,15
500,Acton Town                    ,542,Embankment                    ,25
500,Acton Town                    ,577,Farringdon                    ,28
500,Acton Town                    ,580,Finsbury Park                 ,72
500,Acton Town                    ,581,Fulham Broadway               ,91
500,Acton Town                    ,582,Gants Hill                    ,12
500,Acton Town                    ,583,Gloucester Road               ,69
500,Acton Town                    ,586,Goodge Street                 ,26
500,Acton Town                    ,588,Great Portland Street         ,1
500,Acton Town                    ,590,Green Park                    ,133
500,Acton Town                    ,589,Greenford                     ,19
500,Acton Town                    ,593,Hammersmith (Dis)             ,929
500,Acton Town                    ,598,Harrow-on-the-Hill            ,8
500,Acton Town                    ,779,Hatton Cross                  ,158
500,Acton Town                    ,781,Heathrow Terminal 4           ,35
500,Acton Town                    ,783,Heathrow Terminal 5           ,316
500,Acton Town                    ,780,Heathrow Terminals 123        ,130
