NLC,Station Name,Time period,Total time,Average,Journey Frequency
500,Acton Town          ,Total day   ,224926,26.13,8906
502,Aldgate             ,Total day   ,296695,26.1,11959
503,Aldgate East        ,Total day   ,376604,24.39,16232
505,Alperton            ,Total day   ,129404,27.51,4437
506,Amersham            ,Total day   ,168803,64.24,2766
507,Angel               ,Total day   ,610089,20.75,28622
508,Archway             ,Total day   ,314283,24.77,13278
509,Arnos Grove         ,Total day   ,205033,31.2,6760
510,Arsenal             ,Total day   ,84960,20.13,4854
511,Baker Street        ,Total day   ,972623,21.76,45121
512,Balham              ,Total day   ,453279,23.82,18993
513,Bank / Monument     ,Total day   ,1890279,18.22,108794
501,Barbican            ,Total day   ,411462,23.81,17124
514,Barking             ,Total day   ,591277,26.44,21960
515,Barkingside         ,Total day   ,78970,41.7,1945
516,Barons Court        ,Total day   ,256703,23.48,11777
517,Bayswater           ,Total day   ,173289,23.48,7774
518,Becontree           ,Total day   ,135896,29.62,4795
519,Belsize Park        ,Total day   ,226036,24.71,10050
787,Bermondsey          ,Total day   ,221804,18.44,13040
520,Bethnal Green       ,Total day   ,445080,19.96,23880
521,Blackfriars         ,Total day   ,334248,20.69,15521
522,Blackhorse Road     ,Total day   ,273534,26.26,11597
524,Bond Street         ,Total day   ,1246429,20.6,59625
525,Borough             ,Total day   ,158575,20.89,7684
526,Boston Manor        ,Total day   ,102629,32.22,3066
527,Bounds Green        ,Total day   ,249158,29.07,9419
528,Bow Road            ,Total day   ,178408,22.21,8120
529,Brent Cross         ,Total day   ,97506,29.31,3438
778,Brixton             ,Total day   ,864362,23.26,39367
530,Bromley-by-Bow      ,Total day   ,85408,21.66,4349
531,Buckhurst Hill      ,Total day   ,103424,32.17,3230
532,Burnt Oak           ,Total day   ,195800,34.39,6104
534,Caledonian Road     ,Total day   ,181329,22.42,8669
535,Camden Town         ,Total day   ,600250,20.43,27226
788,Canada Water        ,Total day   ,668323,19.15,34891
852,Canary Wharf        ,Total day   ,2064770,23.36,83194
884,Canning Town        ,Total day   ,776433,22.42,38529
536,Cannon Street       ,Total day   ,172375,21.99,8741
537,Canons Park         ,Total day   ,120348,36.49,3357
539,Chalfont & Latimer  ,Total day   ,106719,60.11,1903
540,Chalk Farm          ,Total day   ,173701,23.83,8657
541,Chancery Lane       ,Total day   ,690012,22.29,28346
718,Charing Cross       ,Total day   ,497900,18.86,30542
543,Chesham             ,Total day   ,68598,63.31,1218
544,Chigwell            ,Total day   ,35008,45.13,906
545,Chiswick Park       ,Total day   ,119433,32.81,3341
546,Chorleywood         ,Total day   ,72191,52.61,1671
547,Clapham Common      ,Total day   ,359151,23.82,13150
548,Clapham North       ,Total day   ,226503,23.05,7715
549,Clapham South       ,Total day   ,317392,25.09,12514
550,Cockfosters         ,Total day   ,111362,40.65,2708
551,Colindale           ,Total day   ,219659,33.06,7224
552,Colliers Wood       ,Total day   ,244021,27.79,9207
553,Covent Garden       ,Total day   ,620249,19.96,26420
554,Croxley             ,Total day   ,72637,48.79,1611
555,Dagenham East       ,Total day   ,118039,31.71,3899
556,Dagenham Heathway   ,Total day   ,268541,33.96,8163
557,Debden              ,Total day   ,148188,38.57,3956
