GeoLink List - Total Count: 27

ID,Name,RiskAij,RiskPij,CentrolPoint,CentroidCoordinate,ToNode,CentralNode
1,"GeoLink",0.2,0.5,{X=192,Y=516},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
2,"GeoLink",0.7,0.8,{X=160,Y=138},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
3,"GeoLink",0.2,0.4,{X=263,Y=38},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
4,"GeoLink",0.4,0.7,{X=421,Y=87},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
5,"GeoLink",0,0.5,{X=318,Y=190},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
6,"GeoLink",0.2,0.2,{X=237,Y=280},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
7,"GeoLink",0.6,0.9,{X=207,Y=366},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
8,"GeoLink",0.9,0.9,{X=325,Y=390},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
9,"GeoLink",0.2,0.5,{X=306,Y=540},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
10,"GeoLink",0.6,0.3,{X=474,Y=501},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
11,"GeoLink",0.5,0.3,{X=635,Y=458},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
12,"GeoLink",0.2,0.1,{X=848,Y=429},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
13,"GeoLink",0.6,0.6,{X=1029,Y=402},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
14,"GeoLink",0.6,0.7,{X=928,Y=242},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
15,"GeoLink",0,0,{X=839,Y=101},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
16,"GeoLink",0.3,0.9,{X=767,Y=55},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
17,"GeoLink",0.2,0.9,{X=546,Y=120},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
18,"GeoLink",0.1,0.6,{X=569,Y=254},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
19,"GeoLink",0.2,0,{X=726,Y=133},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
20,"GeoLink",0.5,0,{X=746,Y=271},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
21,"GeoLink",0.9,0,{X=704,Y=587},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
22,"GeoLink",0.7,0.5,{X=917,Y=559},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
23,"GeoLink",0.3,0.2,{X=106,Y=273},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
24,"GeoLink",0.1,0.8,{X=78,Y=360},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
25,"GeoLink",0.8,0.8,{X=470,Y=353},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
26,"GeoLink",0,0,{X=685,Y=218},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
27,"GeoLink",0.8,0.8,{X=412,Y=595},,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
